S,p_ch,p_dc,i,s,t,Time
20.0400600801001,0.0,0.0,13,b1,3,2020-01-01 01:05
20.02002002002,0.0,0.0,13,b1,4,2020-01-01 01:05
20.0,0.0,0.0,13,b1,5,2020-01-01 01:05
19.98,0.0,0.0,13,b1,6,2020-01-01 01:05
19.96002,0.0,0.0,13,b1,7,2020-01-01 01:05
20.213777133988,3.4574798536777,0.0,13,b1,8,2020-01-01 01:05
21.2589471743419,13.4574798536777,0.0,13,b1,9,2020-01-01 01:05
21.6580117793198,5.30935015368613,0.0,13,b1,10,2020-01-01 01:05
21.2454662819112,0.0,4.69064984631387,13,b1,11,2020-01-01 01:05
20.0,0.0,14.6906498463139,13,b1,12,2020-01-01 01:05
1.0,0.0,-2.54581101551928e-15,13,f1,1,2020-01-01 01:05
1.0,0.126315789978948,0.0,13,f1,2,2020-01-01 01:05
1.0,0.126315789978947,0.0,13,f1,3,2020-01-01 01:05
1.0,0.126315789978948,0.0,13,f1,4,2020-01-01 01:05
1.0,0.126315789978949,0.0,13,f1,5,2020-01-01 01:05
1.0,0.126315789978947,0.0,13,f1,6,2020-01-01 01:05
1.0,0.126315789978948,0.0,13,f1,7,2020-01-01 01:05
1.0,0.126315789978948,0.0,13,f1,8,2020-01-01 01:05
1.7916666635,10.1263157899789,0.0,13,f1,9,2020-01-01 01:05
3.33259310346281,19.6906498463139,0.0,13,f1,10,2020-01-01 01:05
4.06644361552599,9.69064984631387,0.0,13,f1,11,2020-01-01 01:05
4.0,0.0,0.309350153686133,13,f1,12,2020-01-01 01:05
20.0601202003005,0.0,5.0,14,b1,1,2020-01-01 01:10
20.0400600801002,0.0,0.0,14,b1,2,2020-01-01 01:10
20.0200200200201,0.0,0.0,14,b1,3,2020-01-01 01:10
20.0,0.0,0.0,14,b1,4,2020-01-01 01:10
19.98,0.0,0.0,14,b1,5,2020-01-01 01:10
20.3041039832578,4.34632401643118,0.0,14,b1,6,2020-01-01 01:10
21.4195505260324,14.3463240164312,0.0,14,b1,7,2020-01-01 01:10
22.5756309707564,14.8736842100211,0.0,14,b1,8,2020-01-01 01:10
22.9600121607714,5.14050723301387,0.0,14,b1,9,2020-01-01 01:10
22.5320944196483,0.0,4.85949276698613,14,b1,10,2020-01-01 01:10
21.2712712662663,0.0,14.8594927669861,14,b1,11,2020-01-01 01:10
20.0,0.0,15.0,14,b1,12,2020-01-01 01:10
1.0,0.126315789978948,0.0,14,f1,1,2020-01-01 01:10
1.0,0.126315789978948,0.0,14,f1,2,2020-01-01 01:10
1.0,0.126315789978948,0.0,14,f1,3,2020-01-01 01:10
1.0,0.126315789978948,0.0,14,f1,4,2020-01-01 01:10
1.0,0.12631578997895,0.0,14,f1,5,2020-01-01 01:10
1.0,0.126315789978947,0.0,14,f1,6,2020-01-01 01:10
1.0,0.126315789978947,0.0,14,f1,7,2020-01-01 01:10
1.7916666635,10.1263157899789,0.0,14,f1,8,2020-01-01 01:10
3.34595983462923,19.8594927669861,0.0,14,f1,9,2020-01-01 01:10
4.09304341054717,9.85949276698613,0.0,14,f1,10,2020-01-01 01:10
4.04040404040404,0.0,0.140507233013869,14,f1,11,2020-01-01 01:10
4.0,0.0,0.0,14,f1,12,2020-01-01 01:10
20.0400600801002,0.0,0.0,15,b1,1,2020-01-01 01:15
20.0200200200201,0.0,0.0,15,b1,2,2020-01-01 01:15
20.0000000000001,0.0,0.0,15,b1,3,2020-01-01 01:15
